id   sex   Y.trait
1   1   4.09210131506411
2   0   2.01899694937086
3   0   2.05024791775389
4   1   3.99275846397207
5   0   4.74880440622937
6   0   3.70188117512532
7   1   3.39472770655346
8   1   2.22231937345364
9   0   2.29230105588817
10   1   2.02114447382718
11   0   2.13526211741113
12   0   3.17584590840712
13   1   3.06366217027354
14   0   2.53312001303423
15   0   1.41358016800812
16   1   3.54253668366063
17   0   1.60682809613759
18   0   3.4611358421398
19   1   0.896488538146498
20   1   2.86634743277825
21   1   2.72138769476346
22   0   5.04116430621209
23   0   1.75488374784264
24   1   3.12014771982257
25   1   4.03141188630656
26   1   1.4325572809323
27   1   2.94830681741601
28   1   3.36380426265028
29   1   2.67906718330209
30   1   0.0877493464701748
31   0   4.32864737948044
32   0   4.58964120592191
33   1   5.89415942770366
34   0   3.15070178833241
35   0   2.89628848475959
36   1   2.78729349097897
37   1   2.78598380428867
38   0   5.03193323576948
39   1   3.36989405967482
40   0   3.76080210190288
41   0   2.43483537277101
42   1   6.17679109045725
43   0   3.69441410853306
44   0   3.83830507761571
45   1   5.59684262476781
46   0   0.6269864474013
47   0   3.93216008934061
48   1   3.45653931588578
49   1   3.34618474698346
50   1   2.33810237490276
51   0   0.295174917028191
52   0   4.67271403936664
53   1   2.61440691083896
54   1   -0.984246721672256
55   1   2.09171440555129
56   1   2.999564716903
57   1   3.6209825265444
58   1   0.973766546539667
59   1   2.21528284580667
60   0   4.49564018549352
61   0   2.40737685274576
62   1   2.56202568914772
63   0   2.37983733901733
64   0   2.38943891296964
65   1   3.0767791562093
66   1   1.51005067510666
67   0   1.72819648069071
68   1   2.23021048656237
69   0   3.52677886478106
70   0   3.22788357448519
71   1   5.44322981210789
72   0   2.6316471973938
73   0   5.08417448499811
74   1   4.93040434633217
75   0   6.04886319816783
76   0   2.74945182427857
77   1   3.64603601275014
78   1   4.48667694223014
79   1   3.42970365869607
80   0   2.84188526946514
81   0   3.69247636489386
82   1   2.78983373098211
83   1   4.74368446923681
84   1   4.85721873860363
85   1   4.84751554055698
86   1   0.73848237532161
87   1   4.79857696278957
88   1   2.93650472764631
89   0   0.474786981883526
90   0   3.36738904943659
91   1   0.858210582889987
92   0   2.82550243237084
93   0   1.42226909643697
94   1   4.22626433219719
95   1   2.0233075203729
96   0   5.6850245631947
97   1   4.12044973914907
98   0   1.54380325336161
99   0   1.50792835774732
100   1   3.45819754411889
101   0   3.20261446280317
102   0   0.298562768868457
103   1   3.9964561175563
104   0   6.37766423595387
105   0   6.01376644034671
106   1   4.47252191495244
107   1   5.36499779820959
108   1   5.20611507772103
109   0   2.52091450826552
110   0   6.92433101604521
111   1   2.23680761246326
112   1   5.22288301194774
113   1   4.76512119474903
114   1   5.76500344882344
115   1   -0.188381639909286
116   1   6.29460835281867
117   1   3.37965851937736
118   0   0.729633663579556
119   0   3.82554894251866
120   1   4.33590989931866
121   0   1.40918894463355
122   0   3.7512276203758
123   1   4.20795907756826
124   1   4.05058985663479
125   0   3.04172901452189
126   1   1.91882009404398
127   0   2.37438884922877
128   0   2.14218847614641
129   1   2.8628762721136
130   0   0.59116597224598
131   0   4.91997759135953
132   1   2.13420039267647
133   0   2.8005251359223
134   0   4.98203026556725
135   1   1.83137642823404
136   1   0.733018631065886
137   1   3.27177063412727
138   0   4.15840555062631
139   0   3.83845102288973
140   1   1.90241107525275
141   1   4.72492106956741
142   1   3.71617262533301
143   1   4.42948630152037
144   1   1.92635498152399
145   1   2.68145889404922
146   1   1.93040911411078
147   0   4.82850950328203
148   0   1.46882759041708
149   1   1.79829038496813
150   0   4.60095034194179
151   0   5.29380824568404
152   1   4.9323782323763
153   1   0.453002552168914
154   0   4.60391397099648
155   1   1.46789963762565
156   0   5.46175025968786
157   0   2.15787912965638
158   1   4.30774700561189
159   0   3.84672128225439
160   0   2.84309719050316
161   1   2.60636730417189
162   0   5.54747731787469
163   0   1.13040780728017
164   1   4.08224644188055
165   1   3.24999120201161
166   1   3.95516997411765
167   0   2.73612461404268
168   0   3.2011714516783
169   1   2.76788238206364
170   1   4.2285213311737
171   1   3.8070953263725
172   1   5.07998786653191
173   1   5.15731339239968
174   1   5.04147206954342
175   1   1.58602699771896
176   0   4.55743911254334
177   0   3.01412700111601
178   1   2.01001512210023
179   0   4.14070357078496
180   0   4.29005099710138
181   1   1.54325454070397
182   1   2.46332458461601
183   0   3.66100466689524
184   1   3.08163092679138
185   0   2.85733505213993
186   0   2.28256343458628
187   1   5.76676578649515
188   0   2.38282663134312
189   0   1.57053555686306
190   1   0.96550871894186
191   0   2.04694167568167
192   0   -0.703839493022495
193   1   1.03541609963907
194   1   2.02848277126753
195   1   -0.216429133580614
196   0   4.94801015163234
197   0   3.7595559352461
198   1   3.21236450006816
199   1   3.9639739279123
200   1   3.85966971211703
201   1   2.14728861235002
202   1   2.11966238760238
203   1   3.3117755631683
204   1   4.02819436329033
205   0   3.65118646235993
206   0   1.10531660377606
207   1   4.88170991471017
208   0   3.06909610164964
209   0   2.49878153072689
210   1   3.04070624010182
211   1   4.44635009783967
212   0   4.32618919973449
213   1   3.91587590056093
214   0   5.29744073264143
215   0   3.26462382063038
216   1   2.39537903448472
217   0   1.8249653958972
218   0   4.2711309166163
219   1   1.89321131476065
220   0   4.04218537552875
221   0   4.83990272619153
222   1   1.90054839604934
223   1   3.69299261149152
224   1   3.87286233108918
225   0   4.79230298071022
226   0   1.81168191440252
227   1   1.87901707000869
228   1   3.71242252815548
229   1   2.8861799432596
230   1   2.42590965707962
231   1   4.0973184955993
232   1   1.68779502384129
233   1   0.177878099600919
234   0   5.24253428958852
235   0   3.06360220202188
236   1   4.72767637795113
237   0   3.66448534808588
238   0   2.85211419080091
239   1   4.00787308533656
240   1   2.15948184399771
241   0   5.5522731772089
242   1   4.60981266402388
243   0   5.18743311269143
244   0   4.93448793230046
245   1   0.716708943252213
246   0   2.46020645271521
247   0   3.04847768271979
248   1   -0.827749575208015
249   0   1.49110918329598
250   0   0.699660252977456
251   1   -0.134583831877753
252   1   0.168739813966772
253   1   1.15362468314256
254   0   2.80327422064246
255   0   -1.40758536977515
256   1   2.91383060853917
257   1   2.27836173087382
258   1   2.38804465833602
259   1   1.57551232258185
260   1   2.80712328237458
261   1   3.38485120465404
262   1   3.72147991331941
263   0   3.75463262929744
264   0   2.5980717544925
265   1   4.07948779372461
266   0   2.67417542856546
267   0   1.94136362126911
268   1   2.70110030284304
269   1   2.79314781337384
270   0   4.98950314115911
271   1   5.23864413550371
272   0   2.62911319829674
273   0   3.40542939192382
274   1   1.99196816722613
275   0   3.9461814796003
276   0   1.92100187944063
277   1   3.39677660929555
278   0   2.01451105703622
279   0   1.7792912000886
280   1   1.19786097320885
