FID     IID     Y.trait
1     1     4.61505030817919
1     2     2.35585014162124
1     3     2.67122827618925
1     4     3.03036290784573
1     5     3.15135976562968
1     6     5.77576347714147
1     7     0.97541694982641
1     8     4.77991998427107
1     9     3.75274068124334
1     10     5.09564803564967
1     11     2.40272225124678
1     12     4.75593799717933
1     13     3.81232913808115
1     14     5.09657268299114
1     15     4.17706171133955
1     16     2.4315431762132
1     17     4.5446286604055
1     18     2.4083099430092
1     19     4.76239430360228
1     20     3.69638796254817
1     21     3.11523490936018
1     22     2.94602434761456
1     23     3.82614471401083
1     24     3.39280761314904
1     25     1.09228077489505
1     26     0.944269899155435
1     27     3.85217487893328
1     28     5.68720454125949
1     29     1.9019118768684
1     30     6.18825160997775
1     31     4.34282254727912
1     32     3.96531712047324
1     33     5.08723042178389
1     34     3.0679573753957
1     35     5.37809733519408
1     36     4.00727542363474
1     37     0.247217963154658
1     38     3.05131222492911
1     39     3.6606757916757
1     40     2.9714773061422
1     41     3.69087316192911
1     42     1.45417258451848
1     43     3.27372101406372
1     44     4.90138432965792
1     45     3.99421588530682
1     46     2.84401221127642
1     47     2.29319797016439
1     48     3.2927623411952
1     49     4.09190044075875
1     50     4.09055178671349
1     51     0.484359041401401
1     52     2.91642040281201
1     53     3.21349142245043
1     54     2.11194938251316
1     55     1.8932963767874
1     56     2.5513843694421
1     57     -0.305782648954631
1     58     3.69179887025757
1     59     0.124370834448236
1     60     6.4713356685072
1     61     2.44968439609589
1     62     2.17449465404487
1     63     2.42749585530026
1     64     5.2976820564383
1     65     3.37632124402722
1     66     2.40951432154092
1     67     1.21765358460755
1     68     2.73413350392506
1     69     1.43912792881849
1     70     3.27652900368309
1     71     2.14436197029187
1     72     3.02136472942274
1     73     3.26107046912752
1     74     3.99630681013196
1     75     3.73607426283893
1     76     3.75892736927174
1     77     4.07092697140219
1     78     2.34643890117874
1     79     1.36439973916376
1     80     3.04493503155263
1     81     -1.54078996385864
1     82     2.51968773725737
1     83     4.51578568919887
1     84     5.69337939674802
1     85     3.24034412381283
1     86     3.52738559980869
1     87     4.9289682532307
1     88     2.26337102817381
1     89     2.15947416076425
1     90     2.03714906281284
1     91     4.24843152125359
1     92     3.7379306285559
1     93     5.27003101557296
1     94     3.23291628423202
1     95     3.28675728354522
1     96     5.31954224139532
1     97     3.74497199915287
1     98     -0.239468333027959
1     99     2.51022707712019
1     100     0.485952110920406
1     101     3.260677439937
1     102     1.96752441582065
1     103     3.23031350709897
1     104     2.32180024681353
1     105     2.19299223637665
1     106     6.13879306338847
1     107     1.74034151494968
1     108     2.69162260107507
1     109     4.3378050514168
1     110     6.42597945161419
1     111     5.29032341337488
1     112     3.7204844108463
1     113     2.82691696243825
1     114     2.82010825783025
1     115     2.03195351701242
